Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94709-94718,QB,Nathan,Nathan Rourke,Rourke,,,6000,IND@JAC,JAC,IND,,,,,,QB
94709-55830,RB,D'Onta,D'Onta Foreman,Foreman,3.4000000953674316,1,6000,MIN@CHI,CHI,MIN,,,,,,RB/FLEX
94709-88602,QB,Jordan,Jordan Ta'amu,Ta'amu,,,6000,MIN@CHI,MIN,CHI,,,,,,QB
94709-94797,QB,Kellen,Kellen Mond,Mond,,,6000,IND@JAC,IND,JAC,,,,,,QB
94709-69294,QB,Skylar,Skylar Thompson,Thompson,4.195000171661377,8,6000,CAR@MIA,MIA,CAR,,,,,,QB
94709-52917,WR,DJ,DJ Chark Jr.,Chark Jr.,8.524999618530273,4,6000,CAR@MIA,CAR,MIA,,,,,,WR/FLEX
94709-52929,QB,Jake,Jake Luton,Luton,,,6000,NO@HOU,NO,HOU,,,,,,QB
94709-72412,RB,Khalil,Khalil Herbert,Herbert,9.3,5,6000,MIN@CHI,CHI,MIN,D,Ankle,,,,RB/FLEX
94709-86793,QB,Jake,Jake Haener,Haener,,,6000,NO@HOU,NO,HOU,IR,Suspension,,,,QB
94709-85860,QB,Tanner,Tanner Morgan,Morgan,,,6000,MIN@CHI,MIN,CHI,,,,,,QB
94709-93103,QB,E.J.,E.J. Perry,Perry,,,6000,NO@HOU,HOU,NO,,,,,,QB
94709-92082,QB,Austin,Austin Aune,Aune,,,6000,WAS@ATL,ATL,WAS,,,,,,QB
94709-86055,RB,Dameon,Dameon Pierce,Pierce,8.719999694824219,5,5900,NO@HOU,HOU,NO,,,,,,RB/FLEX
94709-71845,RB,Miles,Miles Sanders,Sanders,7.319999694824219,5,5900,CAR@MIA,CAR,MIA,Q,Shoulder,,,,RB/FLEX
94709-39793,TE,George,George Kittle,Kittle,9.6,5,5900,SF@CLE,SF,CLE,,,,,,TE/FLEX
94709-28573,WR,Michael,Michael Thomas,Thomas,8.280000305175781,5,5900,NO@HOU,NO,HOU,,,,,,WR/FLEX
94709-69777,WR,Darnell,Darnell Mooney,Mooney,5.099999904632568,4,5800,MIN@CHI,CHI,MIN,,,,,,WR/FLEX
94709-41305,WR,Zay,Zay Jones,Jones,7.933333079020183,3,5800,IND@JAC,JAC,IND,Q,Knee,,,,WR/FLEX
94709-103187,RB,Roschon,Roschon Johnson,Johnson,5.9,5,5800,MIN@CHI,CHI,MIN,Q,Concussion,,,,RB/FLEX
94709-89230,RB,Cam,Cam Akers,Akers,5.933333079020183,3,5700,MIN@CHI,MIN,CHI,,,,,,RB/FLEX
94709-86229,WR,Jahan,Jahan Dotson,Dotson,5.7,5,5700,WAS@ATL,WAS,ATL,,,,,,WR/FLEX
94709-90428,RB,Tyler,Tyler Allgeier,Allgeier,7.8599998474121096,5,5700,WAS@ATL,ATL,WAS,,,,,,RB/FLEX
94709-129305,WR,Josh,Josh Downs,Downs,7.4,5,5600,IND@JAC,IND,JAC,,,,,,WR/FLEX
94709-88575,WR,Elijah,Elijah Moore,Moore,5.400000095367432,4,5600,SF@CLE,CLE,SF,,,,,,WR/FLEX
94709-92413,RB,Elijah,Elijah Mitchell,Mitchell,3.450000047683716,2,5500,SF@CLE,SF,CLE,Q,Knee,,,,RB/FLEX
94709-64905,WR,Trenton,Trenton Irwin,Irwin,6.099999904632568,2,5500,SEA@CIN,CIN,SEA,,,,,,WR/FLEX
94709-87467,RB,Chuba,Chuba Hubbard,Hubbard,5.420000076293945,5,5500,CAR@MIA,CAR,MIA,,,,,,RB/FLEX
94709-86875,RB,Jordan,Jordan Mason,Mason,5.599999745686849,3,5500,SF@CLE,SF,CLE,,,,,,RB/FLEX
94709-41872,TE,Evan,Evan Engram,Engram,8.1,5,5500,IND@JAC,JAC,IND,,,,,,TE/FLEX
94709-29685,WR,Robert,Robert Woods,Woods,6.519999694824219,5,5500,NO@HOU,HOU,NO,Q,Ribs,,,,WR/FLEX
94709-45229,RB,Kareem,Kareem Hunt,Hunt,2.8499999046325684,2,5400,SF@CLE,CLE,SF,,,,,,RB/FLEX
94709-170287,WR,Rashid,Rashid Shaheed,Shaheed,7.880000305175781,5,5400,NO@HOU,NO,HOU,,,,,,WR/FLEX
94709-26355,TE,Logan,Logan Thomas,Thomas,9.375,4,5400,WAS@ATL,WAS,ATL,,,,,,TE/FLEX
94709-86080,TE,Kyle,Kyle Pitts,Pitts,5.8799999237060545,5,5300,WAS@ATL,ATL,WAS,,,,,,TE/FLEX
94709-91426,WR,Donovan,Donovan Peoples-Jones,Peoples-Jones,2.625,4,5200,SF@CLE,CLE,SF,,,,,,WR/FLEX
94709-85672,WR,Terrace,Terrace Marshall Jr.,Marshall Jr.,6.466666539510091,3,5200,CAR@MIA,CAR,MIA,,,,,,WR/FLEX
94709-55042,TE,Dalton,Dalton Schultz,Schultz,7.180000305175781,5,5200,NO@HOU,HOU,NO,,,,,,TE/FLEX
94709-71705,TE,Noah,Noah Fant,Fant,7,3,5100,SEA@CIN,SEA,CIN,,,,,,TE/FLEX
94709-52345,WR,Brandon,Brandon Powell,Powell,1.2399999618530273,5,5100,MIN@CHI,MIN,CHI,,,,,,WR/FLEX
94709-61593,WR,Jauan,Jauan Jennings,Jennings,3.1500000953674316,4,5100,SF@CLE,SF,CLE,,,,,,WR/FLEX
94709-86312,WR,Alec,Alec Pierce,Pierce,3.279999923706055,5,5100,IND@JAC,IND,JAC,,,,,,WR/FLEX
94709-90933,RB,Antonio,Antonio Gibson,Gibson,4.1200000762939455,5,5100,WAS@ATL,WAS,ATL,,,,,,RB/FLEX
94709-48116,TE,Jonnu,Jonnu Smith,Smith,8.274999618530273,4,5100,WAS@ATL,ATL,WAS,Q,Ankle,,,,TE/FLEX
94709-55335,TE,David,David Njoku,Njoku,4.949999809265137,4,5000,SF@CLE,CLE,SF,Q,Hand,,,,TE/FLEX
94709-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,9.27058859432445,17,5000,CAR@MIA,MIA,CAR,IR,Ribs,,,,RB/FLEX
94709-12549,D,San Francisco,San Francisco 49ers,49ers,8.8,5,5000,SF@CLE,SF,CLE,,,,,,DEF
94709-73111,WR,Chase,Chase Claypool,Claypool,4.366666793823242,3,5000,CAR@MIA,MIA,CAR,,,,,,WR/FLEX
94709-102893,RB,Tyrion,Tyrion Davis-Price,Davis-Price,2.0999999046325684,1,5000,SF@CLE,SF,CLE,,,,,,RB/FLEX
94709-45565,TE,Taysom,Taysom Hill,Hill,3.2880001068115234,5,5000,NO@HOU,NO,HOU,,,,,,TE/FLEX
94709-45631,RB,Jamaal,Jamaal Williams,Williams,4.550000190734863,2,5000,NO@HOU,NO,HOU,IR,Hamstring,,,,RB/FLEX
94709-25267,WR,Mack,Mack Hollins,Hollins,3.7599998474121095,5,5000,WAS@ATL,ATL,WAS,,,,,,WR/FLEX
94709-52495,WR,Braxton,Braxton Berrios,Berrios,6.1,5,4900,CAR@MIA,MIA,CAR,Q,Knee,,,,WR/FLEX
94709-64031,TE,Hayden,Hayden Hurst,Hurst,4.5,5,4900,CAR@MIA,CAR,MIA,,,,,,TE/FLEX
94709-112192,WR,Jonathan,Jonathan Mingo,Mingo,4.425000190734863,4,4900,CAR@MIA,CAR,MIA,,,,,,WR/FLEX
94709-42046,TE,Durham,Durham Smythe,Smythe,4.449999809265137,4,4800,CAR@MIA,MIA,CAR,,,,,,TE/FLEX
94709-12539,D,Miami,Miami Dolphins,Dolphins,5.6,5,4800,CAR@MIA,MIA,CAR,,,,,,DEF
94709-102696,WR,John,John Metchie III,Metchie III,2.549999952316284,4,4800,NO@HOU,HOU,NO,,,,,,WR/FLEX
94709-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,3.049999952316284,4,4800,SEA@CIN,SEA,CIN,,,,,,WR/FLEX
94709-160306,RB,Pierre,Pierre Strong Jr.,Strong Jr.,4.566666603088379,3,4800,SF@CLE,CLE,SF,,,,,,RB/FLEX
94709-71444,RB,Travis,Travis Homer,Homer,4.387499809265137,8,4800,MIN@CHI,CHI,MIN,Q,Hamstring,,,,RB/FLEX
94709-103376,RB,Zach,Zach Charbonnet,Charbonnet,3.6500000953674316,4,4800,SEA@CIN,SEA,CIN,,,,,,RB/FLEX
94709-91401,WR,Ronnie,Ronnie Bell,Bell,3.5333334604899087,3,4700,SF@CLE,SF,CLE,,,,,,WR/FLEX
94709-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,2.1666666666666665,3,4700,WAS@ATL,ATL,WAS,,,,,,WR/FLEX
94709-147049,TE,Drew,Drew Ogletree,Ogletree,4.75,4,4700,IND@JAC,IND,JAC,,,,,,TE/FLEX
94709-87859,WR,Laviska,Laviska Shenault Jr.,Shenault Jr.,2.0200000762939454,5,4700,CAR@MIA,CAR,MIA,,,,,,WR/FLEX
94709-120657,RB,Kendre,Kendre Miller,Miller,5.400000254313151,3,4700,NO@HOU,NO,HOU,,,,,,RB/FLEX
94709-70603,RB,Devin,Devin Singletary,Singletary,3.647999954223633,5,4700,NO@HOU,HOU,NO,,,,,,RB/FLEX
94709-12542,D,New Orleans,New Orleans Saints,Saints,10.8,5,4600,NO@HOU,NO,HOU,,,,,,DEF
94709-60712,TE,Foster,Foster Moreau,Moreau,5.050000190734863,2,4600,NO@HOU,NO,HOU,,,,,,TE/FLEX
94709-64841,WR,Equanimeous,Equanimeous St. Brown,St. Brown,1.2999999523162842,2,4600,MIN@CHI,CHI,MIN,Q,Hamstring,,,,WR/FLEX
94709-71143,TE,Kylen,Kylen Granson,Granson,4.55999984741211,5,4600,IND@JAC,IND,JAC,,,,,,TE/FLEX
94709-89588,TE,Colby,Colby Parkinson,Parkinson,2.924999952316284,4,4600,SEA@CIN,SEA,CIN,,,,,,TE/FLEX
94709-128693,RB,Tank,Tank Bigsby,Bigsby,3.5250000953674316,4,4600,IND@JAC,JAC,IND,,,,,,RB/FLEX
94709-69581,WR,Cedrick,Cedrick Wilson Jr.,Wilson Jr.,4.650000095367432,2,4600,CAR@MIA,MIA,CAR,,,,,,WR/FLEX
94709-41997,WR,River,River Cracraft,Cracraft,5.900000254313151,3,4500,CAR@MIA,MIA,CAR,IR,Shoulder,,,,WR/FLEX
94709-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,1.2000000476837158,1,4500,WAS@ATL,ATL,WAS,,,,,,RB/FLEX
94709-72725,TE,Irv,Irv Smith Jr.,Smith Jr.,2.5999999046325684,2,4500,SEA@CIN,CIN,SEA,,,,,,TE/FLEX
94709-79979,WR,Jamal,Jamal Agnew,Agnew,1.4500000476837158,4,4500,IND@JAC,JAC,IND,,,,,,WR/FLEX
94709-89209,RB,Trestan,Trestan Ebner,Ebner,0.5199999809265137,10,4500,MIN@CHI,CHI,MIN,Q,Concussion,,,,RB/FLEX
94709-129240,WR,Tyler,Tyler Scott,Scott,1.8000000317891438,3,4500,MIN@CHI,CHI,MIN,,,,,,WR/FLEX
94709-69860,RB,Trayveon,Trayveon Williams,Williams,0.6800000190734863,5,4500,SEA@CIN,CIN,SEA,,,,,,RB/FLEX
94709-12554,D,Jacksonville,Jacksonville Jaguars,Jaguars,8.6,5,4500,IND@JAC,JAC,IND,,,,,,DEF
94709-64808,TE,Juwan,Juwan Johnson,Johnson,3.2000001271565757,3,4500,NO@HOU,NO,HOU,Q,Calf,,,,TE/FLEX
94709-93538,WR,Dyami,Dyami Brown,Brown,2.924999952316284,4,4500,WAS@ATL,WAS,ATL,,,,,,WR/FLEX
94709-63907,TE,Josh,Josh Oliver,Oliver,3.5999999046325684,4,4500,MIN@CHI,MIN,CHI,,,,,,TE/FLEX
94709-69168,WR,N'Keal,N'Keal Harry,Harry,3.5166667302449546,6,4500,MIN@CHI,MIN,CHI,,,,,,WR/FLEX
94709-62055,WR,Ray-Ray,Ray-Ray McCloud III,McCloud III,0.7599999904632568,5,4500,SF@CLE,SF,CLE,,,,,,WR/FLEX
94709-56041,RB,Khari,Khari Blasingame,Blasingame,1.2999999523162842,2,4500,MIN@CHI,CHI,MIN,,,,,,RB/FLEX
94709-70383,RB,Darrynton,Darrynton Evans,Evans,3.3999999364217124,3,4500,MIN@CHI,CHI,MIN,,,,,,RB/FLEX
94709-61273,WR,Scotty,Scotty Miller,Miller,1,2,4500,WAS@ATL,ATL,WAS,,,,,,WR/FLEX
94709-93134,RB,Deon,Deon Jackson,Jackson,1.2999999523162842,1,4500,SF@CLE,CLE,SF,,,,,,RB/FLEX
94709-24533,TE,Mo,Mo Alie-Cox,Alie-Cox,3.549999952316284,4,4500,IND@JAC,IND,JAC,Q,Concussion,,,,TE/FLEX
94709-91101,TE,Tommy,Tommy Tremble,Tremble,4.300000190734863,2,4500,CAR@MIA,CAR,MIA,,,,,,TE/FLEX
94709-72705,TE,John,John Bates,Bates,3.075000047683716,4,4400,WAS@ATL,WAS,ATL,,,,,,TE/FLEX
94709-24755,WR,Jamison,Jamison Crowder,Crowder,0.7749999761581421,4,4400,WAS@ATL,WAS,ATL,,,,,,WR/FLEX
